,trascripcion,time,1,2,3,7,10,28,29,30
sources/08-01-2021_06:43:31-34ae78bd-fdb2-4e8b-898d-a9d8de973fce,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 26 27 28 29,2.0460891723632812,True,True,True,True,True,True,True,False
sources/12-01-2021_22:47:37-f9295b32-8440-413b-b276-47f8a7d5932a,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 22 23 24 25 26 27 28 29 30,2.768179178237915,True,True,True,True,True,True,True,True
sources/10-01-2021_19:44:20-25454325-9ab0-49de-86b2-03d8917d028f,2 3 4 5 6 7 8 9 10 11 12 13 14 19 20 21 22 23 24,1.6050782203674316,True,True,True,True,True,False,False,False
sources/20-01-2021_13:09:23-a7a7daaa-03ae-4233-887f-1b1d5445b477,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1.814436674118042,True,True,True,True,True,True,True,True
sources/14-01-2021_02:33:23-6224035c-741c-4216-a777-79e6e6243224,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,1.5109410285949707,True,True,True,True,True,False,False,False
sources/13-01-2021_12:17:09-2f78e3ed-599e-4b9d-b519-11a234970dbb,los 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29 30 31,1.87581205368042,True,True,True,True,True,True,True,True
sources/13-01-2021_04:55:22-c509b98d-71db-48ba-81bc-971bd01d9089,3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29 30,1.761314868927002,True,True,True,True,True,True,True,True
sources/17-01-2021_07:40:19-3abe4f55-12d6-49e8-b469-c010e67dd60b,3456789,1.9934232234954834,False,False,False,False,False,False,False,False
sources/04-01-2021_13:24:03-745b61ff-3200-4d43-bf01-88d4cdac8656,8 9 10 11 12 13 14 15 17 18 19 20 21 24,2.6908769607543945,True,True,True,False,False,False,False,False
sources/02-01-2021_17:43:17-f7b9c5f6-bb80-444a-955f-5d2ed8e35f81,1 2 3 4 5 6,1.4163057804107666,True,True,True,False,False,False,False,False
sources/13-01-2021_19:32:39-2321dab5-9170-488f-a8af-57ccd1c54865,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,1.704031229019165,True,True,True,True,True,True,True,False
sources/21-01-2021_14:14:42-d268f945-2d5b-496a-89e5-5ff15394f0ac,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29 30,2.2113518714904785,True,True,True,True,True,True,True,True
sources/31-12-2020_19:44:00-4941d5d5-fb24-4d07-add9-00bb1077bd75,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 3 4 5 6 7 8 9 y 3,2.155930280685425,True,True,True,True,True,False,False,False
sources/04-01-2021_13:37:35-4376ffae-122c-4330-96bc-bf9197f68080,2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1.9077997207641602,True,True,True,True,True,True,True,True
sources/13-01-2021_23:15:53-3af03d3b-751e-471d-b0cb-c6985b1725f9,3 4 5 6 7 8 9 10 11 12 13 14 15,3.30621600151062,True,True,True,True,True,False,False,False
sources/12-01-2021_17:44:23-0d8459cf-c630-4c27-bf43-abc49023a132,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1.8735530376434326,True,True,True,True,True,True,True,True
sources/17-01-2021_01:55:01-9683e2cf-b10f-4365-9d2c-b54d229cd6c5,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,2.2669050693511963,True,True,True,True,True,False,False,False
sources/14-01-2021_22:51:39-abb76840-16d4-42ac-acda-b642275a9675,nuestra Constitución,2.9402360916137695,False,False,False,False,False,False,False,False
sources/13-01-2021_00:57:30-02c3cc40-e847-4c4f-91ef-d2cd8bd84a77,tres cuatro cinco seis siete ocho nueve 10 11,1.5835556983947754,False,False,False,False,False,False,False,False
sources/12-01-2021_17:23:13-c8db0e5b-4a4f-424b-b34b-2eb9f8af957e,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29 30,2.074984073638916,True,True,True,True,True,True,True,True
sources/04-01-2021_22:00:47-13ef0b1f-c548-47ed-b9d8-cbc99f657efe,123456789 10 11 12 13 14 15 6 7 7 9 20 21 22 24 25 26 27 28,1.7496368885040283,True,True,True,True,True,True,False,False
sources/12-01-2021_17:30:42-00f3e7dd-cd43-48fd-94d9-ef87c4332442,90 km,1.9797780513763428,False,False,False,False,False,False,False,False
sources/16-01-2021_23:43:10-25839531-720c-4eea-8c43-7b02512475f2,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 solución,2.401479721069336,True,True,True,True,True,False,False,False
sources/16-01-2021_22:24:28-2c69ce7d-40ec-4997-8da1-3f6849602950,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 solución,3.708050012588501,True,True,True,True,True,False,False,False
sources/21-01-2021_09:35:21-33099857-62bb-4888-b2ee-e680c861a114,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,2.1403839588165283,True,True,True,True,True,True,True,True
sources/16-01-2021_21:18:34-b5d2edee-f5cd-4902-9288-4c682df3dd4e,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 57,2.108747959136963,True,True,True,True,True,False,False,False
sources/24-01-2021_17:43:49-1ecf0063-42ff-4813-a9b9-8b550ad02f55,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 24 25 26 27 28 29 30,1.8545186519622803,True,True,True,True,True,True,True,True
sources/23-01-2021_14:37:34-545f10b9-1285-4d18-9ac8-813eeebde0e7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 24 25 26 27 28 29 30,2.3673410415649414,True,True,True,True,True,True,True,True
sources/12-01-2021_16:45:22-59b76815-42df-407e-b55f-037efa22e7b7,2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 8 9 21 y 35 57289,2.22049617767334,True,True,True,True,True,True,False,False
sources/10-01-2021_19:23:48-0cf0e782-d789-4c60-b386-edbe34a2bfad,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 98156 9333,2.5507547855377197,True,True,True,True,True,False,False,False
sources/12-01-2021_22:28:42-a4687bd0-b0d9-43e1-8262-84d35bf10baf,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 98156 9333,2.799916982650757,True,True,True,True,True,False,False,False
sources/26-01-2021_16:28:42-b01704bb-4837-4c55-b9d9-be52f79f3a5f,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,3.2301621437072754,True,True,True,True,True,True,True,True
sources/02-01-2021_12:59:13-32cd91f6-f079-413f-921a-6401d9a6752e,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,2.616986036300659,True,True,True,True,True,False,False,False
sources/02-01-2021_10:38:34-45131fee-83b8-46f3-b3fa-27314da41f1a,1 2 3 4 5 6 7 8 9 10 11 12 14 17 19 20 21 22 23 24 25 26 27 28 29,1.477053165435791,True,True,True,True,True,True,True,False
sources/12-01-2021_18:38:42-4ee43891-ba37-41e2-a4c3-a70e81093513,123456789 10 11 12 13 14 15 16 19 20,2.7648630142211914,True,True,True,False,False,False,False,False
sources/31-12-2020_19:46:31-a803d8b4-075a-4722-a56d-a628fba6b4cb,un dos tres cuatro cinco seis siete winnow dentro de 13 14 15 16 18 21 22 23 24 25 y 30,2.2025420665740967,True,True,True,False,False,False,False,True
sources/03-01-2021_21:04:07-0a85b68b-debe-44cd-bd85-75ddd064ad69,4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30,1.6635072231292725,True,True,True,True,True,True,True,True
sources/03-01-2021_20:52:52-d645e5ce-014b-492f-ab5a-38d9d411bf7c,4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30,1.3236589431762695,True,True,True,True,True,True,True,True
sources/21-01-2021_17:10:07-a8534cb4-eda3-4373-b9e5-559130b34546,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20 20 21 22 23 24 25 26 27,2.077739953994751,True,True,True,True,True,False,False,False
sources/05-02-2021_07:37:01-2d196ed0-85a4-49e7-a971-7d6c47052fc9,2 3 4 5 6 and we know the ones 8 13 14 15 16 / 21 22 23 24 25 26 27 28 29 30,2.3085098266601562,True,True,True,False,False,True,True,True
sources/09-01-2021_14:29:33-8848f69d-8dca-45d9-ab45-fc81e9bad20c,2 3 4 5 6 and we know the ones 8 13 14 15 16 / 21 22 23 24 25 26 27 28 29 30,1.3565490245819092,True,True,True,False,False,True,True,True
sources/20-01-2021_16:00:26-115d87b2-0471-4ff2-a574-ab6b70d0561a,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 21 22 23 24 y 5,1.6176812648773193,True,True,True,True,True,False,False,False
sources/17-01-2021_12:30:30-c3f6bf90-eb3e-48ae-82ca-346408d3ff15,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 y 5 7:30,2.582345962524414,True,True,True,True,True,False,False,True
sources/02-02-2021_16:53:25-e5e7aff6-c079-4775-b3bd-21839eb868a9,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 y 5 7:30,1.4552028179168701,True,True,True,True,True,False,False,True
sources/31-12-2020_17:20:30-28647eee-4e7a-4e3d-a9c8-b8785e71d0ff,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 y 5 7:30,1.4332849979400635,True,True,True,True,True,False,False,True
sources/18-01-2021_12:27:24-99ef1a94-f43b-4869-bd36-d8a2887e348d,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 20 21 22 23 24 25 26 27 28 29,1.7003138065338135,True,True,True,True,True,True,True,False
sources/03-01-2021_09:52:44-109d0932-6702-4390-9e4c-d01177e1fb5c,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 y 17 promoción,3.408726215362549,True,True,True,True,True,False,False,False
sources/13-01-2021_18:08:05-33a95b23-e1b8-49f9-818c-97ab84521f42,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,2.09916090965271,True,True,True,True,True,True,True,True
sources/12-01-2021_16:26:18-56a07686-41ee-4488-b844-074fcf8f271f,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,1.8235158920288086,True,True,True,True,True,True,True,False
sources/03-01-2021_20:23:18-45daa52f-8fbb-412f-a60c-28cfded6843b,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24 18930,2.3184680938720703,True,True,True,True,True,False,False,True
sources/12-01-2021_20:35:39-9e92b514-47b1-4c8e-9aff-10c8bb9ff231,4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29 30,1.6308479309082031,True,True,True,True,True,True,True,True
sources/17-01-2021_12:25:55-7a656805-3fda-4ada-870b-ceb33962b7c3,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30,1.6404972076416016,True,True,True,True,True,True,True,True
sources/10-01-2021_19:21:52-3feb776a-d486-4655-8c6a-1e13723a3ba0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,2.0391688346862793,True,True,True,True,True,True,True,True
sources/17-01-2021_16:44:38-52f93e1c-5f99-4e40-9dbc-17f7b4290283,123456789 10 11 12 13 14 16,2.039191961288452,True,True,True,False,False,False,False,False
sources/12-01-2021_19:47:23-71cf1c07-1e7a-4061-85fd-e2bc6fdf745c,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 20 21 22 23 24 25 26 27 28 29,1.8182048797607422,True,True,True,True,True,True,True,False
sources/20-01-2021_19:33:44-c2b643ee-e12a-4e96-9cc2-634037423605,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1.7493400573730469,True,True,True,True,True,True,True,True
sources/01-01-2021_09:08:57-8a21b69d-4951-4220-a119-e9edf3601900,1 2 3 4 5 6 7 8 9 10 11 12,1.4971880912780762,True,True,True,True,True,False,False,False
sources/08-01-2021_16:35:25-bd4b7f28-dacb-4cd7-87a3-fb4ea7779cad,1 2 3 4 5 6 7 8 9 10 11 12 13 36779,1.4701647758483887,True,True,True,True,True,False,False,False
sources/20-01-2021_17:22:01-ed926e96-fad9-4fd1-b32f-dc81d37da2a2,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 y 30,2.8432540893554688,True,True,True,True,True,True,True,True
sources/16-01-2021_19:38:45-40b3d942-8e8d-4c36-805a-714e5aa89459,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 89,1.8884329795837402,True,True,True,True,True,False,False,False
sources/05-01-2021_19:52:32-46167a68-8dfc-49c3-b5da-9ce2dcc56436,7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,1.6656420230865479,True,True,True,False,False,False,False,False
sources/15-01-2021_18:08:53-0b4d872a-9e0c-4747-a8f3-0987dd5004d9,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,2.721345901489258,True,True,True,True,True,True,True,False
sources/04-01-2021_14:57:59-891fc177-4691-4ec2-bbc7-070471344132,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 18 19 21 22 23 24,2.0132510662078857,True,True,True,True,True,False,False,False
sources/27-01-2021_10:34:56-aa24ac34-badf-417a-85d0-fa320cb4f632,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,2.865877866744995,True,True,True,True,True,True,True,True
sources/13-01-2021_03:23:37-a9fe218b-db71-4b21-bd1d-39b4769fef03,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,1.7857320308685303,True,True,True,True,True,True,True,False
sources/15-01-2021_00:50:55-3d0160eb-65fb-4986-9c2e-4496d855108b,123456789 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,2.173038959503174,True,True,True,False,False,True,True,True
sources/05-01-2021_11:57:49-72faab96-3888-4ab1-97de-69a6c899fc9b,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29,1.9570002555847168,True,True,True,True,True,True,True,False
sources/02-01-2021_09:34:16-7e72bb07-b7e7-4e60-9987-f71579c4d2d0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20 21 22 23 24,1.5614831447601318,True,True,True,True,True,False,False,False
sources/11-01-2021_02:25:09-73530fbf-b709-40ef-914d-791d5eb17311,nuestras 4 5 6 7 8 9 10 11 12 13 14 15 6 7 8 9 3 4 5,1.7815570831298828,True,True,True,True,True,False,False,False
sources/16-01-2021_13:46:34-fc1ed646-81f8-4ad4-adc5-e3cf588c0158,nuestras 4 5 6 7 8 9 10 11 12 13 14 15 6 7 8 9 3 4 5,1.5125648975372314,True,True,True,True,True,False,False,False
sources/21-01-2021_15:06:18-e58f408b-45ef-48ee-90b0-8b9574e73ee0,cinco seis siete ocho nueve 10 11 12 13 14 15,1.543450117111206,True,True,True,False,False,False,False,False
sources/13-01-2021_22:00:55-ef73968c-cb2b-4ef2-8717-1d3234d238b9,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 9 1 2 3 4 5 6 7,1.8237900733947754,True,True,True,True,True,False,False,False
sources/14-01-2021_02:31:52-f351300d-1630-493d-91e4-eb830e333f3b,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 y 9,1.7590408325195312,True,True,True,True,True,True,False,False
sources/20-01-2021_18:22:18-33badea4-3cbf-4c4e-bf7a-50dc0ab79606,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 y 9,1.4086792469024658,True,True,True,True,True,True,False,False
sources/06-01-2021_08:33:44-af881915-bd47-4b0e-b8bd-bc77a64d80da,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1.7216510772705078,True,True,True,True,True,True,True,True
sources/14-01-2021_01:14:24-89458f27-cfcf-4aa6-9675-0622af3c5374,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7 7 9 20 21 22 23 24 25 26 27 28 29 30,2.1814582347869873,True,True,True,True,True,True,True,True
